Source,Target,Weight
JON,SANSA,151
MISSANDEI,TYRION,88
TYRION,VARYS,86
ARYA,JAQEN,83
DAVOS,MELISANDRE,82
GREY_WORM,TYRION,81
DAVOS,JON,80
GILLY,SAM,80
HIGH_SPARROW,MARGAERY,76
THEON,YARA,72
DAENERYS,TYRION,69
CERSEI,JAIME,66
ARYA,LADY_CRANE,64
DAARIO,JORAH,60
LITTLEFINGER,SANSA,57
DAARIO,DAENERYS,54
JON,MELISANDRE,54
JON,TORMUND,54
BRAN,MEERA,51
BRIENNE,JAIME,50
DAVOS,TORMUND,50
HIGH_SPARROW,TOMMEN,49
ARYA,WAIF,48
CERSEI,TOMMEN,48
EDDISON_TOLLETT,JON,48
BRIENNE,SANSA,46
GREY_WORM,MISSANDEI,44
HOUND,RAY,41
MARGAERY,OLENNA,40
HODOR,MEERA,39
BRAN,HODOR,38
DAVOS,SANSA,38
RAMSAY,SANSA,37
BRONN,JAIME,36
JAIME,TOMMEN,36
MARGAERY,TOMMEN,36
BRYNDEN,JAIME,35
RAMSAY,SMALLJON,34
HIGH_SPARROW,JAIME,33
LORAS,MARGAERY,33
BRIENNE,BRYNDEN,32
EDMURE,JAIME,31
JON,RAMSAY,30
BENJEN,BRAN,29
CERSEI,OLENNA,29
CERSEI,QYBURN,29
LYANNA,NED,29
SANSA,THEON,29
DAVOS,EDDISON_TOLLETT,28
BRIENNE,PODRICK,27
BERIC,HOUND,26
HOUND,THOROS,25
RAMSAY,ROOSE_BOLTON,25
JON,LYANNA_MORMONT,24
SANSA,TORMUND,24
BALON,YARA,23
OSHA,RAMSAY,23
ALLISER_THORNE,DAVOS,22
HIGH_SPARROW,LORAS,22
BRONN,PODRICK,21
CAMELLO,LADY_CRANE,21
DAENERYS,JORAH,21
EDDISON_TOLLETT,TORMUND,21
GREY_WORM,VARYS,21
MELESSA,SAM,21
BRAN,NED,20
JAQEN,WAIF,20
RAMSAY,WALDA,20
BRAN,LEAF,19
JAIME,WALDER,19
JON,ROBETT,19
ARYA,WALDER,18
CERSEI,KEVAN,18
DAENERYS,YARA,18
BALON,EURON,17
DAVOS,LYANNA_MORMONT,17
EURON,YARA,17
BIANCA,LADY_CRANE,16
BOBONO,LADY_CRANE,16
CERSEI,PYCELLE,16
EURON,THEON,16
IZEMBARO,LADY_CRANE,16
LITTLEFINGER,YOHN_ROYCE,16
MISSANDEI,VARYS,16
TYRION,YEZZAN,16
CERSEI,HIGH_SPARROW,15
CERSEI,LANCEL,15
DAENERYS,THEON,15
GILLY,MELESSA,15
KINVARA,TYRION,15
LITTLEFINGER,ROBIN,15
CERSEI,MARGAERY,14
RANDYLL,SAM,14
VALA,VARYS,14
ALLISER_THORNE,JON,13
BIANCA,IZEMBARO,13
JAIME,LOTHAR,13
LEAF,MEERA,13
PODRICK,SANSA,13
PYCELLE,QYBURN,13
RAMSAY,RICKON,13
THEON,TYRION,13
ARTHUR,NED,12
BENJEN,MEERA,12
BRAN,NIGHT_KING,12
JAIME,KEVAN,12
LYANNA_MORMONT,SANSA,12
MELESSA,TALLA,12
MELISANDRE,TORMUND,12
NED,SANSA,12
ALLISER_THORNE,EDDISON_TOLLETT,11
BRIENNE,DAVOS,11
BRYNDEN,EDMURE,11
CLARENZO,LADY_CRANE,11
DAENERYS,MISSANDEI,11
DICKON,SAM,11
EDDISON_TOLLETT,MELISANDRE,11
EDDISON_TOLLETT,SANSA,11
JOFFREY,LADY_CRANE,11
LEM,RAY,11
MACE,OLENNA,11
MELESSA,RANDYLL,11
ARYA,BIANCA,10
BENJEN,NED,10
BIANCA,BOBONO,10
BOBONO,CLARENZO,10
BRIENNE,JON,10
BRIENNE,MELISANDRE,10
GREY_WORM,YEZZAN,10
JAIME,OLENNA,10
JON,NED,10
MELISANDRE,SANSA,10
PYCELLE,TOMMEN,10
RAZDAL,TYRION,10
AERON,YARA,9
ALLISER_THORNE,TORMUND,9
ARYA,IZEMBARO,9
BOBONO,IZEMBARO,9
BRIENNE,EDDISON_TOLLETT,9
BRIENNE,TORMUND,9
CLARENZO,IZEMBARO,9
DAVOS,STANNIS,9
ELLARIA,OLENNA,9
GATINS,HOUND,9
HODOR,LEAF,9
JON,RICKON,9
LOTHAR,WALDER,9
MACE,MARGAERY,9
NYMERIA,OBARA,9
AERON,EURON,8
BENJEN,LYANNA,8
BERIC,THOROS,8
BIANCA,CLARENZO,8
DAENERYS,GREY_WORM,8
DAENERYS,VARYS,8
DAVOS,RAMSAY,8
DORAN,ELLARIA,8
GILLY,RANDYLL,8
GILLY,TALLA,8
HIGH_SPARROW,LANCEL,8
JAIME,MACE,8
JAIME,MARGAERY,8
JON,LITTLEFINGER,8
JON,SMALLJON,8
KINVARA,VARYS,8
MYRANDA,RAMSAY,8
QYBURN,TOMMEN,8
RAMSAY,RICKARD_KARSTARK,8
RAMSAY,TORMUND,8
SAM,TALLA,8
ALLISER_THORNE,OLLY,7
BELICHO,TYRION,7
BOBONO,CAMELLO,7
GREY_WORM,RAZDAL,7
JAIME,QYBURN,7
KEVAN,OLENNA,7
KEVAN,TOMMEN,7
LORAS,TOMMEN,7
MEERA,NIGHT_KING,7
MISSANDEI,RAZDAL,7
MISSANDEI,YEZZAN,7
NYMERIA,TRYSTANE,7
OBARA,OLENNA,7
RAZDAL,YEZZAN,7
RICKON,SANSA,7
ROBETT,SANSA,7
ROBIN,YOHN_ROYCE,7
ROOSE_BOLTON,SANSA,7
ALLISER_THORNE,BOWEN_MARSH,6
ARYA,CLARENZO,6
ARYA,SANSA,6
BELICHO,RAZDAL,6
BOWEN_MARSH,JON,6
BRAN,LYANNA,6
BRYNDEN,PODRICK,6
BRYNDEN,SANSA,6
CAMELLO,CLARENZO,6
CAMELLO,IZEMBARO,6
CATELYN,JAIME,6
CERSEI,JOFFREY,6
CERSEI,LADY_CRANE,6
CERSEI,LORAS,6
DAENERYS,DROGO,6
DAENERYS,RAZDAL,6
DAVOS,SMALLJON,6
EDMURE,LOTHAR,6
HIGH_SPARROW,MACE,6
HOUND,LEM,6
JON,OLLY,6
LADY_CRANE,SANSA,6
LANCEL,MARGAERY,6
LEAF,NIGHT_KING,6
MELISANDRE,STANNIS,6
OBARA,TRYSTANE,6
RICKON,SMALLJON,6
SMALLJON,TORMUND,6
TYRION,YARA,6
ARYA,BOBONO,5
ARYA,CAMELLO,5
ARYA,JOFFREY,5
BELICHO,GREY_WORM,5
BELICHO,MISSANDEI,5
BELICHO,YEZZAN,5
BOBONO,JOFFREY,5
BRIENNE,LITTLEFINGER,5
BRIENNE,THEON,5
BRYNDEN,WALDER,5
CERSEI,MOUNTAIN,5
CERSEI,MYRCELLA,5
CERSEI,TYWIN,5
CLARENZO,JOFFREY,5
CLARENZO,TYRION,5
DAENERYS,KINVARA,5
DAVOS,LITTLEFINGER,5
DIM_DALBA,JON,5
EDDISON_TOLLETT,OLLY,5
EDMURE,WALDER,5
ELLARIA,TYENE,5
JOFFREY,SANSA,5
JON,ROBB,5
KEVAN,PYCELLE,5
LADY_CRANE,TYRION,5
LANCEL,LORAS,5
NED,RICKARD_STARK,5
OLLY,TORMUND,5
PODRICK,THEON,5
RANDYLL,TALLA,5
RICKARD_KARSTARK,ROOSE_BOLTON,5
RICKARD_KARSTARK,SMALLJON,5
AERON,BALON,4
AERON,THEON,4
ARTHUR,HOWLAND,4
ARYA,CERSEI,4
BALON,THEON,4
BIANCA,CAMELLO,4
BIANCA,JOFFREY,4
BIANCA,SANSA,4
BOBONO,SANSA,4
BOBONO,TYRION,4
BOBONO,TYWIN,4
BOWEN_MARSH,DAVOS,4
BOWEN_MARSH,EDDISON_TOLLETT,4
BOWEN_MARSH,MELISANDRE,4
BOWEN_MARSH,OLLY,4
BOWEN_MARSH,TORMUND,4
BRIENNE,STANNIS,4
BRONN,LOTHAR,4
BRYNDEN,LOTHAR,4
CERSEI,CLARENZO,4
CERSEI,MACE,4
CERSEI,SANSA,4
CLARENZO,SANSA,4
DAENERYS,YEZZAN,4
DAVOS,OLLY,4
DICKON,GILLY,4
DIM_DALBA,TORMUND,4
DORAN,TYENE,4
EDDISON_TOLLETT,PODRICK,4
HARALD,RAMSAY,4
HIGH_SPARROW,OLENNA,4
HODOR,LYANNA,4
HODOR,NIGHT_KING,4
HOWLAND,NED,4
JAIME,MYRCELLA,4
JOFFREY,TYRION,4
JON,PODRICK,4
JON,SAM,4
JON,STANNIS,4
KEVAN,MARGAERY,4
LITTLEFINGER,TORMUND,4
LORAS,OLENNA,4
LYANNA_MORMONT,ROBB,4
MYRCELLA,TOMMEN,4
NYMERIA,OLENNA,4
PODRICK,TORMUND,4
SANSA,SMALLJON,4
SANSA,TYRION,4
STANNIS,TORMUND,4
AERYS,TYRION,3
ALLISER_THORNE,MELISANDRE,3
AREO,DORAN,3
AREO,ELLARIA,3
AREO,TYENE,3
ARTHUR,BRAN,3
ARYA,BRAN,3
ARYA,TYRION,3
BENJEN,HODOR,3
BERIC,LEM,3
BIANCA,CERSEI,3
BIANCA,NED,3
BIANCA,TYRION,3
BOBONO,CERSEI,3
BOBONO,NED,3
BRAN,JON,3
BRAN,RICKON,3
BRONN,EDMURE,3
CATELYN,NED,3
CATELYN,SANSA,3
CERSEI,IZEMBARO,3
CERSEI,TYRION,3
CLARENZO,MARGAERY,3
DAVOS,HARALD,3
DAVOS,SHIREEN,3
DICKON,RANDYLL,3
DORAN,OBERYN,3
HARALD,JON,3
HARALD,SANSA,3
HARALD,SMALLJON,3
HARALD,TORMUND,3
HIGH_SPARROW,KEVAN,3
HODOR,NED,3
IZEMBARO,JOFFREY,3
IZEMBARO,NED,3
IZEMBARO,TYWIN,3
JAIME,PODRICK,3
JAIME,PYCELLE,3
JAIME,SANSA,3
JEOR,JON,3
JOFFREY,MARGAERY,3
JON,ROOSE_BOLTON,3
KEVAN,LORAS,3
KEVAN,MACE,3
LEM,THOROS,3
LORAS,MACE,3
LYANNA_MORMONT,RAMSAY,3
LYANNA_MORMONT,TORMUND,3
MACE,PYCELLE,3
MARGAERY,TYRION,3
NED,OLD_NAN,3
NED,RAMSAY,3
OLENNA,PYCELLE,3
OLENNA,TOMMEN,3
OLENNA,TYENE,3
RAZDAL,VARYS,3
ROBB,ROBETT,3
ROOSE_BOLTON,SMALLJON,3
ROOSE_BOLTON,WALDA,3
SANSA,STANNIS,3
ARYA,NED,2
ARYA,RICKON,2
ARYA,ROBERT,2
BELICHO,DAENERYS,2
BELICHO,VARYS,2
BENJEN,RODRIK,2
BIANCA,MARGAERY,2
BOBONO,MARGAERY,2
BRAN,HOWLAND,2
BRAN,JAQEN,2
BRAN,OLD_NAN,2
BRAN,RODRIK,2
BRAN,SANSA,2
BRONN,BRYNDEN,2
BRONN,WALDER,2
CAMELLO,NED,2
CAMELLO,SANSA,2
CAMELLO,TYRION,2
CATELYN,EDMURE,2
CATELYN,ROBB,2
CERSEI,ROBERT,2
CERSEI,VARYS,2
CLARENZO,ROBERT,2
DAENERYS,VALA,2
DAVOS,DIM_DALBA,2
DAVOS,RICKON,2
DAVOS,ROBETT,2
DICKON,MELESSA,2
DICKON,TALLA,2
DIM_DALBA,SANSA,2
EDMURE,HOSTER,2
ELLARIA,NYMERIA,2
ELLARIA,OBARA,2
ELLARIA,OBERYN,2
GREY_WORM,THEON,2
GREY_WORM,YARA,2
HARALD,LYANNA_MORMONT,2
HODOR,OLD_NAN,2
IZEMBARO,ROBERT,2
IZEMBARO,SANSA,2
IZEMBARO,TYRION,2
JAIME,LORAS,2
JAIME,ROBB,2
JAIME,TYRION,2
JON,THEON,2
KEVAN,QYBURN,2
KRAZNYS_MO_NAKLOZ,MISSANDEI,2
LADY_CRANE,MARGAERY,2
LADY_CRANE,ROBERT,2
LADY_CRANE,TYWIN,2
LADY_CRANE,WAIF,2
LANCEL,MACE,2
LANCEL,QYBURN,2
LEM,MORGAN,2
LITTLEFINGER,RAMSAY,2
LITTLEFINGER,SMALLJON,2
LYANNA_MORMONT,SMALLJON,2
MAESTER_AEMON,SAM,2
MANCE,TORMUND,2
MARGAERY,SANSA,2
MEERA,OLD_NAN,2
MELISANDRE,OLLY,2
MELISANDRE,PODRICK,2
MELISANDRE,RAMSAY,2
MISSANDEI,THEON,2
MISSANDEI,YARA,2
MORGAN,RAY,2
NED,ROBB,2
NED,ROBERT,2
NED,ROBETT,2
NED,RODRIK,2
NED,TYRION,2
NYMERIA,TYENE,2
OBARA,TYENE,2
OSHA,SMALLJON,2
QYBURN,VARYS,2
RICKON,TORMUND,2
ROBB,WALDER,2
ROBIN,SANSA,2
SANSA,TYWIN,2
SANSA,YOHN_ROYCE,2
STANNIS,VARYS,2
THEON,VARYS,2
TYRION,TYWIN,2
VARYS,YARA,2
VARYS,YEZZAN,2
